State/UT/Utility,Wind,Solar,Biomass,Bagasse,Small Hydro,Others,Total
Chandigarh,0,7.87,0,0,0,0,7.87
Delhi,0,13.41,0,0,0,227.68,241.09
Haryana,0,64.65,195.66,90.1,210.29,0,560.7
Himachal Pradesh,0,0,0,0,1903.05,0,1903.05
Jammu & Kashmir,0,0,0,0,324.37,0,324.37
Punjab,0,1432.07,489.68,204.5,217.62,0,2343.87
Rajasthan,5665.45,3469.25,340.84,0,8.69,0,9484.23
Uttar Pradesh,0,637.02,129.3,3809.79,30.18,0,4606.29
Uttarakhand .,0,291.08,0,143.81,749.61,0,1184.5
"NTPC (Dadri, Faridabad,Unchahar Singrauli &Bhadla)",0,480.99,0,0,0,0,480.99
Oil India Ltd,225.79,25.46,0,0,0,0,251.25
Chhattisgarh,0,136.54,909.72,0,22.94,0,1069.21
"NTPC (Rajgarh, Rojmal & Mandsaur)",41.86,340.13,0,0,0,0,381.99
Gujarat,9635.65,2048.4,32.65,0,42.93,0,11759.63
Madhya Pradesh,4139.84,1911.7,21.94,54.17,124.11,41.14,6292.9
Maharashtra,6541.35,1100.67,539.1,3228.72,627.12,0.01,12036.98
Dadra and Nagar Haveli,0,5.23,0,0,0,0,5.23
Daman & Diu,0,18.53,0,0,0,0,18.53
Andhra Pradesh,6354.11,3658.97,206.49,189.03,181.69,7.18,10597.47
Telangana,195.29,4013.8,175.48,114.02,51.27,82.43,4632.28
Karnataka,7410.29,2391.73,135.6,1921.96,1604.41,0,13463.98
Kerala,98.46,55.35,0,0,620.52,0,774.32
NTPC(Ramagundem & Anantapuram),0,426.37,0,0,0,0,426.37
Tamil Nadu,12358.01,2906.01,178.33,551.39,186.14,0,16179.86
Lakshadweep,0,1.79,0,0,0,0,1.79
Puducherry,0,1.17,0,0,0,0,1.17
Andaman & Nicobar,0,6.88,0,0,12.77,0,19.65
Bihar,0,145.34,2.93,152.84,7.95,0,309.06
Jharkhand,0,19.47,0,0,0,0,19.47
Odisha,0,204.77,47.22,0,265.57,0,517.56
Sikkim,0,0,0,0,30.54,0,30.54
West Bengal,0,20.47,0,1387.01,183.05,0,1590.54
DVC,0,0.06,0,0,9.47,0,9.54
NTPC (Andaman & Talcher),0,20.43,0,0,0,0,20.43
Arunachal Pradesh,0,0.23,0,0,0.47,0,0.7
Assam,0,8.36,0,0,16.13,0,24.49
Manipur,0,0.15,0,0,0,0,0.15
Meghalaya,0,0,0,0,70.56,0,70.56
Mizoram,0,0,0,0,54.67,0,54.67
Nagaland,0,0,0,0,91,0,91
Tripura,0,0,0,0,44.48,0,44.48
NEEPCO,0,6.71,0,0,0,0,6.71
Total,52666.09,25871.07,3404.95,11847.35,7691.58,358.45,101839.48
